Version,Set,Item1,Item2,Item3,Item4
1,1,2,7,9,12
1,2,14,13,6,5
1,3,19,3,4,17
1,4,16,20,8,10
1,5,18,11,1,15
2,1,1,13,9,15
2,2,8,14,7,18
2,3,19,11,3,20
2,4,17,10,16,4
2,5,2,5,6,12
3,1,12,15,20,8
3,2,17,18,1,9
3,3,7,14,19,13
3,4,6,3,5,10
3,5,16,2,4,11
4,1,15,4,18,19
4,2,13,3,17,6
4,3,20,9,7,8
4,4,14,2,1,12
4,5,11,5,16,10
5,1,15,1,4,14
5,2,11,12,3,17
5,3,16,10,2,6
5,4,8,19,20,18
5,5,7,13,5,9
6,1,16,9,10,1
6,2,4,18,6,5
6,3,12,20,3,8
6,4,7,13,14,15
6,5,11,19,17,2
7,1,13,7,9,18
7,2,10,2,12,4
7,3,17,20,16,3
7,4,14,6,8,19
7,5,5,15,11,1
8,1,3,4,11,10
8,2,6,15,18,9
8,3,14,1,13,8
8,4,16,20,17,12
8,5,2,5,7,19
9,1,5,1,7,11
9,2,20,17,4,12
9,3,10,8,15,19
9,4,13,6,18,3
9,5,9,14,16,2
10,1,4,3,9,12
10,2,1,17,14,11
10,3,10,2,16,8
10,4,13,18,6,15
10,5,5,7,20,19
11,1,8,10,1,6
11,2,14,17,2,3
11,3,12,16,4,20
11,4,5,18,11,19
11,5,9,13,15,7
12,1,15,2,17,11
12,2,4,13,18,20
12,3,8,3,10,12
12,4,1,16,6,19
12,5,5,9,14,7
13,1,5,11,8,6
13,2,10,17,4,19
13,3,16,15,18,7
13,4,14,12,20,9
13,5,2,1,13,3
14,1,19,18,15,1
14,2,13,10,17,20
14,3,9,11,6,3
14,4,5,7,12,14
14,5,2,8,4,16
15,1,10,14,12,11
15,2,19,13,17,4
15,3,7,16,20,18
15,4,6,5,2,15
15,5,9,1,3,8
16,1,17,1,5,11
16,2,13,8,3,4
16,3,18,15,6,2
16,4,10,9,7,12
16,5,14,19,16,20
17,1,16,11,17,18
17,2,15,5,14,13
17,3,3,2,7,1
17,4,6,9,12,10
17,5,20,4,19,8
18,1,16,1,4,3
18,2,18,19,14,15
18,3,7,20,13,9
18,4,8,11,17,12
18,5,10,5,2,6
19,1,5,7,4,10
19,2,9,12,18,16
19,3,6,1,3,8
19,4,17,11,19,14
19,5,13,20,15,2
20,1,20,15,10,16
20,2,5,13,3,2
20,3,14,6,18,12
20,4,4,1,9,11
20,5,17,8,19,7
21,1,6,3,11,8
21,2,16,10,9,20
21,3,15,2,18,1
21,4,7,12,19,13
21,5,17,5,4,14
22,1,2,7,18,20
22,2,3,13,10,11
22,3,14,9,8,15
22,4,4,17,1,12
22,5,19,6,16,5
23,1,4,12,18,11
23,2,20,17,15,13
23,3,1,7,5,9
23,4,6,3,8,19
23,5,10,16,14,2
24,1,16,6,20,7
24,2,2,8,17,10
24,3,15,13,18,3
24,4,1,12,19,5
24,5,4,9,11,14
25,1,16,7,20,5
25,2,17,3,2,13
25,3,15,14,18,6
25,4,8,1,19,11
25,5,9,12,4,10
26,1,1,17,19,8
26,2,20,6,4,12
26,3,14,16,3,13
26,4,15,7,18,11
26,5,9,10,2,5
27,1,19,7,12,4
27,2,10,16,17,20
27,3,3,18,9,5
27,4,6,15,11,2
27,5,8,1,13,14
28,1,1,5,12,17
28,2,2,3,11,18
28,3,8,10,13,4
28,4,6,7,19,20
28,5,15,14,9,16
29,1,20,15,3,19
29,2,14,17,6,5
29,3,18,11,9,12
29,4,8,16,4,10
29,5,13,7,2,1
30,1,2,19,11,16
30,2,5,15,13,10
30,3,4,20,3,12
30,4,17,14,7,9
30,5,6,18,8,1
31,1,19,8,1,5
31,2,6,18,3,2
31,3,9,10,17,20
31,4,13,7,12,16
31,5,15,14,11,4
32,1,20,12,2,3
32,2,17,18,19,4
32,3,5,9,1,14
32,4,15,8,10,11
32,5,16,13,7,6
33,1,15,4,8,17
33,2,2,6,13,10
33,3,14,18,9,12
33,4,11,7,19,5
33,5,20,1,16,3
34,1,4,15,20,5
34,2,17,12,8,16
34,3,2,14,10,19
34,4,18,3,13,9
34,5,1,7,11,6
35,1,15,5,7,16
35,2,1,20,3,19
35,3,8,13,14,12
35,4,2,18,11,17
35,5,6,4,9,10
36,1,4,8,1,3
36,2,13,15,17,18
36,3,19,10,2,16
36,4,12,7,9,6
36,5,20,11,14,5
37,1,20,3,1,17
37,2,7,18,2,19
37,3,16,15,13,14
37,4,11,5,4,6
37,5,12,8,9,10
38,1,15,9,4,5
38,2,6,7,11,17
38,3,16,14,8,20
38,4,18,19,13,1
38,5,12,3,2,10
39,1,15,7,3,14
39,2,20,1,9,2
39,3,19,6,13,4
39,4,16,17,11,12
39,5,5,10,18,8
40,1,3,10,4,7
40,2,9,18,13,14
40,3,16,12,15,1
40,4,11,5,17,8
40,5,6,20,2,19
41,1,10,17,9,5
41,2,18,3,7,8
41,3,13,20,16,11
41,4,15,12,14,6
41,5,1,4,19,2
42,1,18,1,11,20
42,2,17,2,4,6
42,3,12,10,13,5
42,4,15,9,7,16
42,5,3,14,8,19
43,1,14,2,9,3
43,2,12,17,11,13
43,3,6,15,18,10
43,4,5,7,16,20
43,5,4,1,19,8
44,1,17,14,9,13
44,2,4,10,11,16
44,3,19,15,12,2
44,4,20,5,7,1
44,5,6,8,18,3
45,1,3,17,4,2
45,2,16,19,18,9
45,3,6,13,12,20
45,4,8,1,5,10
45,5,15,7,14,11
46,1,8,12,20,7
46,2,2,5,18,11
46,3,15,17,16,10
46,4,9,14,4,6
46,5,1,13,19,3
47,1,12,10,1,16
47,2,4,19,2,6
47,3,17,14,13,20
47,4,7,3,5,8
47,5,9,18,15,11
48,1,17,5,11,10
48,2,9,20,13,12
48,3,8,7,15,1
48,4,2,3,4,14
48,5,18,19,16,6
49,1,17,20,13,16
49,2,19,4,18,3
49,3,10,2,12,9
49,4,1,8,6,7
49,5,5,14,11,15
50,1,14,12,1,15
50,2,9,3,2,10
50,3,11,13,5,17
50,4,16,7,8,20
50,5,18,19,4,6
51,1,11,9,4,8
51,2,1,6,5,14
51,3,13,3,12,15
51,4,20,10,17,7
51,5,19,16,2,18
52,1,15,1,3,8
52,2,4,19,14,20
52,3,5,10,16,7
52,4,11,17,13,9
52,5,18,6,2,12
53,1,10,2,3,17
53,2,19,14,18,1
53,3,20,11,6,7
53,4,4,5,9,16
53,5,12,13,15,8
54,1,8,3,7,9
54,2,11,15,13,16
54,3,5,4,17,20
54,4,1,12,18,19
54,5,2,10,14,6
55,1,17,16,8,11
55,2,6,15,20,7
55,3,1,13,18,5
55,4,3,4,14,19
55,5,12,9,2,10
56,1,1,11,15,8
56,2,13,5,9,18
56,3,6,10,12,4
56,4,20,3,14,19
56,5,16,7,2,17
57,1,3,6,20,12
57,2,13,16,1,9
57,3,8,2,17,10
57,4,18,11,5,4
57,5,7,15,19,14
58,1,16,1,9,14
58,2,17,19,20,10
58,3,11,18,15,7
58,4,13,8,6,12
58,5,5,4,2,3
59,1,16,1,6,7
59,2,19,10,18,3
59,3,8,11,4,17
59,4,20,14,5,12
59,5,13,15,2,9
60,1,19,12,8,13
60,2,10,20,4,6
60,3,7,18,14,1
60,4,2,9,11,3
60,5,16,15,5,17
61,1,18,7,16,20
61,2,19,5,11,14
61,3,4,8,1,6
61,4,12,10,17,2
61,5,3,9,15,13
62,1,8,12,1,3
62,2,20,15,14,17
62,3,4,19,2,13
62,4,5,9,6,16
62,5,11,18,7,10
63,1,1,4,3,12
63,2,9,6,19,10
63,3,13,14,8,16
63,4,17,5,11,18
63,5,7,20,15,2
64,1,6,12,3,13
64,2,10,19,16,8
64,3,11,18,17,5
64,4,7,1,14,20
64,5,15,9,4,2
65,1,7,1,3,10
65,2,6,14,15,11
65,3,9,18,19,8
65,4,2,13,20,17
65,5,16,4,12,5
66,1,11,8,5,2
66,2,20,3,19,1
66,3,4,15,16,14
66,4,7,6,12,10
66,5,18,13,17,9
67,1,10,18,14,2
67,2,20,8,13,6
67,3,1,12,16,7
67,4,3,17,19,4
67,5,15,11,9,5
68,1,1,6,16,7
68,2,2,9,5,20
68,3,14,3,15,11
68,4,19,8,13,12
68,5,4,10,17,18
69,1,6,18,9,13
69,2,16,4,14,1
69,3,10,12,5,8
69,4,7,11,20,3
69,5,17,2,15,19
70,1,7,9,13,16
70,2,19,3,11,12
70,3,5,4,20,2
70,4,8,17,18,10
70,5,15,6,14,1
71,1,2,13,8,6
71,2,5,15,11,18
71,3,14,19,10,17
71,4,9,4,7,12
71,5,3,20,16,1
72,1,15,9,18,17
72,2,2,6,19,1
72,3,4,16,14,7
72,4,10,20,12,3
72,5,13,5,11,8
73,1,3,14,6,12
73,2,4,2,17,1
73,3,13,19,10,7
73,4,5,16,11,8
73,5,18,20,9,15
74,1,14,5,11,8
74,2,3,16,20,2
74,3,7,6,18,1
